industry_id:ID,name,:LABEL
4d1ea98b524e81be95ea811b885d5fb7,玻璃陶瓷,Industry
3d6e5e6798186aa9466d5b0f973be8ff,其他業,Industry
1089a7b0a93062fb415098a26c07d114,貿易百貨業,Industry
a2f3a7184f26f9656493e74b4fa14584,其他電子業,Industry
ef6576cdfe7be28e612d64eecaaeb455,橡膠工業,Industry
65bf782cd69922cd7e4f6ce29e94c87b,電腦及週邊設備業,Industry
8e6869a46961c4483d28196382e8ee2c,鋼鐵工業,Industry
b76fbb443627a3b2d8a1fa48d646581d,建材營造業,Industry
3c53ab25323e74125836a004042baa2e,汽車工業,Industry
bdd26e866261279a893772b04b3e8e4e,電機機械,Industry
c46ec83ae5112490a6f8a1b44db8983e,電子零組件業,Industry
9e108af5d037d98320ccec0ce410a874,無,Industry
76f5838cce5a495513a457e11e2fed8b,紡織纖維,Industry
4b06de78636599dfd5416050180a1df7,農業科技業,Industry
419481d964b78da6eacdfaa56b201561,食品工業,Industry
08280769a40de48ae092bfc61947503c,生技醫療業,Industry
32edc4471e5fdb0fec0b7544d0ce7e37,化學工業,Industry
3313ea4c7e44503d072cecc0aa73f0e6,資訊服務業,Industry
fc46f6949340b96f27ddd19e9394a46e,航運業,Industry
a7c79beeb7f32005c8f9016bf23610c1,水泥工業,Industry
d0bb9b3f18407ec90eae9d02e5a04fb8,金融保險業,Industry
65d7e2b9d99f432110b691fdb093e5ee,觀光事業,Industry
36116ed4fe9242bf982081f3cd296ddb,油電燃氣業,Industry
141781efbda837f8c15c380ab2d524f7,電子通路業,Industry
e65b51a33f214a766676311acc487da3,通信網路業,Industry
789540e8c2e54c846def86fca75c283e,文化創意業,Industry
6163452d6ead32c9c0b71cfad49063cd,半導體業,Industry
36e42df759075f1d59316a074d32e5ef,電子商務,Industry
85281d9b3451b64e13de9a9feda9b1c0,造紙工業,Industry
be75832a89a49d46ae98a14ce6cef749,光電業,Industry
245520f2a6575375255a95c4f9b2efae,電器電纜,Industry
ca4a279ae8574d3b1809cc6c8a1704d5,塑膠工業,Industry
